HumanSays:,RobotSays:
HumanSays:,RobotSays:
What time is it?,23:46:59
What time do you have?,23:46:59
Got the time?,23:46:59
When is it?,23:46:59
What day is it?,5/30/2023 0:00
What is the date?,5/30/2023
Do you know what time it is?,23:46:59
Do you have the time,23:46:59
24 hour format,23:50:30
IDKnull,I don't know.
IDKnull,I'll need to take some time to think on that.
IDKnull,Can you try rephrasing that please?
IDKnull,I'm not sure about that.
IDKnull,Is there a different way you can ask that?
IDKnull,I don't have a response for that.
IDKnull,I will have to give that some thought.
IDKnull,I don't really know what you are asking.
IDKnull,There are some things I just don't know about yet.
IDKnull,I'm not an expert on that.
IDKnull,I could not tell you.
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,I am a Alumni Bot.
Who are you?,I am a Python powered Alumni Bot.
Who are you?,I am a Alumni Bot running on Python and a dash of artificial intelligence.
Hello,Hello Human!
Hi,Hello Human!
Greetings,Hello Human!
Hey,Hello Human!
What's up?,Hello Human!
Who are you?,I am a Alumni Bot.
What is your name?,Alumni Bot.
